TTT,LOS,Price,Reviews,NumberOfNights,Score,Score_in_the_description,priceBeforesale,Cancellation,prepayment,typeBed,DistanceFromCenter,Subway Access,Stars,Locatins_Battery Park,Locatins_Chelsea,Locatins_Chinatown,Locatins_East Harlem,Locatins_East Village,Locatins_Error,Locatins_Flatiron District,Locatins_Gramercy,Locatins_Greenwich Village,Locatins_Harlem,Locatins_Hell's Kitchen,Locatins_Hudson Yards,Locatins_Kips Bay,Locatins_Lower East Side,Locatins_Manhattan,Locatins_Midtown East,Locatins_Murray Hill,Locatins_New York,Locatins_NoMad,Locatins_SoHo,Locatins_Tribeca,Locatins_Union Square,Locatins_Upper East Side,Locatins_Upper West Side,Locatins_Wall Street - Financial District
1,1,913,821,1,8.5,2,1521,0,1,0,1900,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,766,571,1,8.3,2,0,0,1,8,7000,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1023,2408,1,8.1,2,0,0,1,8,2500,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,913,12852,1,8.1,2,0,0,1,1,1400,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1133,2669,1,7.8,1,0,0,1,7,600,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1056,5527,1,7.1,1,0,0,1,7,450,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,769,1707,1,7.9,1,0,0,1,7,2100,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1129,6626,1,8.6,3,1568,0,1,8,1000,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1096,250,1,7.7,1,0,0,1,8,3900,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1059,3910,1,8.2,2,0,0,1,8,2500,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1058,745,1,6.8,2,1411,0,1,6,2400,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1023,6649,1,8.0,2,0,0,1,8,2800,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1463,3323,1,8.2,2,0,0,1,8,450,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,839,2433,1,7.6,1,0,0,1,8,5600,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1133,15092,1,7.6,1,0,0,1,8,1700,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
