check-in,check-out,TTT,LOS,Hotel Name,Price,Reviews,NumberOfNights,Locatins,Score,Score_in_the_description,priceBeforesale,Cancellation,prepayment,typeBed,DistanceFromCenter,Subway Access,Stars
2023-03-17,2023-03-18,1,1,Pestana Park Avenue,913,821,1,Murray Hill,8.5,Very Good,"1,521",Not Free,Yes,Classic Room - Disability Access,1.9 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,The Cloud One New York-Downtown,766,571,1,Wall Street - Financial District,8.3,Very Good,NaN,Not Free,Yes,Standard King Room,7 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,TownePlace Suites by Marriott New York Manhattan/Chelsea,"1,023","2,408",1,Chelsea,8.1,Very Good,NaN,Not Free,Yes,King Studio with Kitchenette,2.5 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,Pod Times Square,913,"12,852",1,Hell's Kitchen,8.1,Very Good,NaN,Not Free,Yes,Bunk Pod,1.4 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,Hampton Inn Manhattan Times Square North,"1,133","2,669",1,Hell's Kitchen,7.8,Good,NaN,Not Free,Yes,Queen Room,0.6 km ,Subway Access,3
2023-03-17,2023-03-18,1,1,Hilton Garden Inn New York Central Park South-Midtown West,"1,056","5,527",1,Manhattan,7.1,Good,NaN,Not Free,Yes,Queen Room,450 m ,Subway Access,4
2023-03-17,2023-03-18,1,1,U Hotel Fifth Avenue I Empire State Building,769,"1,707",1,Manhattan,7.9,Good,NaN,Not Free,Yes,Queen Room,2.1 km ,Subway Access,3
2023-03-17,2023-03-18,1,1,Riu Plaza Manhattan Times Square,"1,129","6,626",1,Manhattan,8.6,Excellent,"1,568",Not Free,Yes,Deluxe King,1 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,Hyatt Union Square New York,"1,096",250,1,Union Square,7.7,Good,NaN,Not Free,Yes,King Room - Courtyard View,3.9 km ,Subway Access,4
2023-03-17,2023-03-18,1,1,SpringHill Suites by Marriott New York Manhattan Chelsea,"1,059","3,910",1,Chelsea,8.2,Very Good,NaN,Not Free,Yes,King Room,2.5 km ,Subway Access,4
